title,main_category,rating,reviews,address
Винарија „Камник“,Винарија,4.8,158.0,"Винарија „Камник“, Kamnik bb Skopje MK, 1000"
Винарија „Картал“,Винарија,4.9,53.0,"Винарија „Картал“, ul.1519 br.7 Skopje MK, 1000"
Семејна винарија „Захарчев“,Винарија,5.0,14.0,"Семејна винарија „Захарчев“, Косовска 16, Кавадарци 1430"
Винарија „Венец“,Винарија,4.8,35.0,"Винарија „Венец“, s Dolni Disan, Negotino 1443"
Winery Kuvin,Винарија,5.0,9.0,"Winery Kuvin, Македонска Преродба бр.70, Скопје 1000"
Винарија „Попова кула“,Винарија,4.5,570.0,"Винарија „Попова кула“, Wine Boulevard No.1, Демир Капија 1442"
Royal winery „Queen Maria“,Винарија,4.6,157.0,"Royal winery „Queen Maria“, Marshal Tito 63, 1442"
Alesto Winery,Винарија,5.0,11.0,"Alesto Winery, Arvati"
Винарија „Брзанов“,Винарија,4.9,110.0,"Винарија „Брзанов“, ul 1 br. 4 MK, Трубарево 1047"
Monastery Winery,Винарија,4.9,150.0,"Monastery Winery, MK, Охрид 6000"
Семејна винарија „Пешков“,Винарија,4.6,10.0,"C2G3+7HV Семејна винарија „Пешков“, Кавадарци"
Винарска визба Валандово,Винарија,4.7,16.0,"Винарска визба Валандово, Orce Nikolov 6, Valandovo 2460"
Винарија „Попов“,Винарија,4.6,30.0,"F2RC+JH6 Винарија „Попов“, Сопот"
Винарија „Стоби“,Винарија,4.7,374.0,"Винарија „Стоби“, Avtopat b.b., Градско 1400"
Винарија „Ерос“,Винарија,4.4,9.0,"Винарија „Ерос“, MK, Marshal Tito 59, Marena 1430"
Winery „Chateau Sopot“,Винарија,4.4,669.0,"Winery „Chateau Sopot“, MK, Велес 1400"
S&S Winery,Винарија,5.0,27.0,"S&S Winery, Охрид"
OldSchoolWinery,Винарија,4.7,6.0,"OldSchoolWinery, Lake Mladost Veles MK, 1400"
Sarika Winery,Винарија,5.0,5.0,"Sarika Winery, Мирче Ацев 128, Прилеп 7500"
Винарска визба Тиквеш АД Скопје,Винарија,4.2,10.0,"Винарска визба Тиквеш АД Скопје, 810 no. 2, Скопје 1000"
Винарија „Бади“,Винарија,5.0,11.0,"Винарија „Бади“, Pere Toshev 3, Kavadartsi 1430"
Езимит,Винарија,4.5,11.0,"Езимит, Ul. Bregalnicka 64a, Штип"
Винарија „Чифлик“,Винарија,4.5,664.0,"Винарија „Чифлик“, 2 br.18 Brusnik, Битола"
Домашни вина „Иванов“,Винарија,5.0,1.0,"Домашни вина „Иванов“, MK MK, Игман 11, Кавадарци 1430"
Борд лајф,Винарија,4.9,18.0,"Борд лајф, 1106, Skopje 1000, Скопје"
Винарија Мирон (Miron winery),Винарија,5.0,2.0,"Винарија Мирон (Miron winery), Palmiro Toljati 88, Скопје 1000"
Винарија „Имако вино“,Винарија,4.5,42.0,"M5X4+MX Винарија „Имако вино“, 6th km local road Stip-Radovis MK, Sofilari 2000"
Винарија Далвина,Винарија,4.8,20.0,"Винарија Далвина, R1302, Hamzali 2431"
Винарија Охрид,Винарија,5.0,7.0,"4QHV+56P Винарија Охрид, Бул. Железничка ББ, Охрид 6000"
Винарија „Домен Лепово“,Винарија,4.4,9.0,"Винарија „Домен Лепово“, Неготино"
Винарија Трајковски,Винарија,4.0,8.0,"Винарија Трајковски, 109, Krnjevo"
Винарија „Бовин“,Винарија,4.8,75.0,"Винарија „Бовин“, Индустриска, Неготино 1440"
GD Tikves Winery,Винарија,5.0,1.0,"GD Tikves Winery, Ul. Kamendol - Trstenik S MK, Trstenik 1422"
Винарија „Мовино“,Винарија,5.0,2.0,"GXC7+HVF Винарија „Мовино“, MK, Industriska BB, Rosoman 1422"
Семејни вина Коцев,Винарија,5.0,2.0,"Семејни вина Коцев, Прохор Пчински, Велес"
Винарија „Парагон“,Винарија,4.8,12.0,"G4C8+R4 Винарија „Парагон“, Криволак 1440"
Винарија „Лазар“,Винарија,4.8,305.0,"Винарија „Лазар“, Naseleno mesto bez ulicen sistem MK, Stobi, Паликура 1422"
Кралска винарија „Кралица Марија“,Винарија,4.6,592.0,"Кралска винарија „Кралица Марија“, Marshal Tito 63, 1442"
Винарија Маркудов,Винарија,4.9,15.0,"5G24+M98 Винарија Маркудов, Индустриска, Гевгелија"
Аневски Винерија,Винарија,4.2,5.0,"Q53C+VH7 Аневски Винерија, Штип"
