title,main_category,rating,reviews,address
Винарија „Камник“,Винарија,4.8,158.0,"Винарија „Камник“, Kamnik bb Skopje MK, 1000"
Винарија „Картал“,Винарија,4.9,53.0,"Винарија „Картал“, ul.1519 br.7 Skopje MK, 1000"
Винарија „Венец“,Винарија,4.8,35.0,"Винарија „Венец“, s Dolni Disan, Negotino 1443"
Винарија „Попова кула“,Винарија,4.5,570.0,"Винарија „Попова кула“, Wine Boulevard No.1, Демир Капија 1442"
Royal winery „Queen Maria“,Винарија,4.6,157.0,"Royal winery „Queen Maria“, Marshal Tito 63, 1442"
Винарија „Брзанов“,Винарија,4.9,110.0,"Винарија „Брзанов“, ul 1 br. 4 MK, Трубарево 1047"
Monastery Winery,Винарија,4.9,150.0,"Monastery Winery, MK, Охрид 6000"
Винарија „Попов“,Винарија,4.6,30.0,"F2RC+JH6 Винарија „Попов“, Сопот"
Винарија „Стоби“,Винарија,4.7,374.0,"Винарија „Стоби“, Avtopat b.b., Градско 1400"
Винарија „Чифлик“,Винарија,4.5,664.0,"Винарија „Чифлик“, 2 br.18 Brusnik, Битола"
Винарија „Имако вино“,Винарија,4.5,42.0,"M5X4+MX Винарија „Имако вино“, 6th km local road Stip-Radovis MK, Sofilari 2000"
Винарија „Бовин“,Винарија,4.8,75.0,"Винарија „Бовин“, Индустриска, Неготино 1440"
Винарија „Лазар“,Винарија,4.8,305.0,"Винарија „Лазар“, Naseleno mesto bez ulicen sistem MK, Stobi, Паликура 1422"
Кралска винарија „Кралица Марија“,Винарија,4.6,592.0,"Кралска винарија „Кралица Марија“, Marshal Tito 63, 1442"
