title,main_category,rating,reviews,address
Семејна винарија „Захарчев“,Винарија,5.0,14.0,"Семејна винарија „Захарчев“, Косовска 16, Кавадарци 1430"
Winery Kuvin,Винарија,5.0,9.0,"Winery Kuvin, Македонска Преродба бр.70, Скопје 1000"
Alesto Winery,Винарија,5.0,11.0,"Alesto Winery, Arvati"
Семејна винарија „Пешков“,Винарија,4.6,10.0,"C2G3+7HV Семејна винарија „Пешков“, Кавадарци"
Винарска визба Валандово,Винарија,4.7,16.0,"Винарска визба Валандово, Orce Nikolov 6, Valandovo 2460"
S&S Winery,Винарија,5.0,27.0,"S&S Winery, Охрид"
OldSchoolWinery,Винарија,4.7,6.0,"OldSchoolWinery, Lake Mladost Veles MK, 1400"
Sarika Winery,Винарија,5.0,5.0,"Sarika Winery, Мирче Ацев 128, Прилеп 7500"
Винарија „Бади“,Винарија,5.0,11.0,"Винарија „Бади“, Pere Toshev 3, Kavadartsi 1430"
Езимит,Винарија,4.5,11.0,"Езимит, Ul. Bregalnicka 64a, Штип"
Домашни вина „Иванов“,Винарија,5.0,1.0,"Домашни вина „Иванов“, MK MK, Игман 11, Кавадарци 1430"
Борд лајф,Винарија,4.9,18.0,"Борд лајф, 1106, Skopje 1000, Скопје"
Винарија Мирон (Miron winery),Винарија,5.0,2.0,"Винарија Мирон (Miron winery), Palmiro Toljati 88, Скопје 1000"
Винарија Далвина,Винарија,4.8,20.0,"Винарија Далвина, R1302, Hamzali 2431"
Винарија Охрид,Винарија,5.0,7.0,"4QHV+56P Винарија Охрид, Бул. Железничка ББ, Охрид 6000"
GD Tikves Winery,Винарија,5.0,1.0,"GD Tikves Winery, Ul. Kamendol - Trstenik S MK, Trstenik 1422"
Винарија „Мовино“,Винарија,5.0,2.0,"GXC7+HVF Винарија „Мовино“, MK, Industriska BB, Rosoman 1422"
Семејни вина Коцев,Винарија,5.0,2.0,"Семејни вина Коцев, Прохор Пчински, Велес"
Винарија „Парагон“,Винарија,4.8,12.0,"G4C8+R4 Винарија „Парагон“, Криволак 1440"
Винарија Маркудов,Винарија,4.9,15.0,"5G24+M98 Винарија Маркудов, Индустриска, Гевгелија"
